# Format UTC YYYY/MM/DD, hh:mm:ss, lat, lon, res, N, Energy (J), Energy uncertainty (J)
# see README.txt for more info


2018/9/16,13:14:44.136429,  18.1105,  112.7061, 06.3, 5,  246.15,  0.00
2018/9/16,13:14:44.260265,  17.8863,  112.4170, 03.1, 6,  0.00,    0.00
2018/9/16,13:14:44.208864,  32.0974,  121.5730, 05.7, 6,  425.82,  142.88
2018/9/16,13:14:44.534018,  32.3100,  121.7332, 20.4, 11, 3874.53, 646.81
2018/9/16,13:14:44.601058,  06.3698, -089.3759, 24.0, 5,  242.36,  48.59
2018/9/16,13:14:44.522171,  22.8746, -096.7931, 07.4, 8,  65.24,   18.45
2018/9/16,13:14:44.601060,  06.4276, -089.2590, 13.0, 8,  519.52,  263.82
2018/9/16,13:14:44.767669,  32.4435,  121.5593, 08.1, 6,  211.36,  6.85
2018/9/16,13:14:44.738833,  11.0844, -095.5054, 06.4, 5,  0.00,    0.00
2018/9/16,13:14:44.841583,  32.6963,  122.0801, 06.2, 8,  5721.77, 2143.27
2018/9/16,13:14:44.208828,  31.9923,  121.6476, 10.6, 5,  927.25,  124.85
2018/9/16,13:14:44.738925,  11.0809, -095.2880, 16.6, 7,  9597.11, 5523.13
2018/9/16,13:14:44.585662,  23.6701, -094.2190, 08.0, 8,  103.76,  24.10
2018/9/16,13:14:44.738894,  11.0275, -095.2907, 06.5, 5,  0.00,    0.00
2018/9/16,13:14:44.906194, -24.1688, -058.1742, 07.9, 5,  57.08,   8.79
2018/9/16,13:14:44.700633,  06.4140, -089.3009, 12.8, 7,  231.44,  56.23
2018/9/16,13:14:44.708344,  33.0069,  122.6302, 20.2, 5,  1630.18, 425.13
2018/9/16,13:14:45.008132, -25.7566, -036.6008, 04.9, 5,  184.54,  13.31
2018/9/16,13:14:45.249142,  18.1772,  112.8473, 04.2, 6,  0.00,    0.00
2018/9/16,13:14:45.568959,  18.3419,  113.6481, 11.9, 7,  0.00,    0.00
2018/9/16,13:14:45.692786,  18.3449,  113.1013, 09.2, 8,  328.61,  94.30
2018/9/16,13:14:44.989474, -25.6850, -036.5891, 06.9, 6,  274.18,  15.32
2018/9/16,13:14:45.270514, -24.1851, -058.1604, 05.0, 5,  34.16,   6.24
2018/9/16,13:14:45.425024,  18.1136,  112.7889, 02.5, 6,  0.00,    0.00
